"lhs","op","rhs","est","se","z","pvalue","ci.lower","ci.upper","std.lv","std.all","model","partition"
"tol4","~~","tol4",0.849901919250551,0,,,0.849901919250551,0.849901919250551,0.849901919250551,0.849901919250551,"two_factor_three","validation"
"ic1","~~","ic1",0.672569154747824,0,,,0.672569154747824,0.672569154747824,0.672569154747824,0.672569154747824,"two_factor_three","validation"
"word1","~~","word1",0.921564683879975,0,,,0.921564683879975,0.921564683879975,0.921564683879975,0.921564683879975,"two_factor_three","validation"
"word2","~~","word2",0.98596328225935,0,,,0.98596328225935,0.98596328225935,0.98596328225935,0.98596328225935,"two_factor_three","validation"
"word3","~~","word3",0.908542651305695,0,,,0.908542651305695,0.908542651305695,0.908542651305695,0.908542651305695,"two_factor_three","validation"
"Tolerance","~~","Tolerance",1,0,,,1,1,1,1,"two_factor_three","validation"
"Intangible","~~","Intangible",1,0,,,1,1,1,1,"two_factor_three","validation"
"Tolerance","~~","Intangible",0.775934165355278,0.158066104879662,4.90892190926072,9.15784324373448e-07,0.466130292614609,1.08573803809595,0.775934165355278,0.775934165355278,"two_factor_three","validation"
"tol1","~*~","tol1",1,0,,,1,1,1,1,"two_factor_three","validation"
"tol2","~*~","tol2",1,0,,,1,1,1,1,"two_factor_three","validation"
"tol4","~*~","tol4",1,0,,,1,1,1,1,"two_factor_three","validation"
"ic1","~*~","ic1",1,0,,,1,1,1,1,"two_factor_three","validation"
"word1","~*~","word1",1,0,,,1,1,1,1,"two_factor_three","validation"
"word2","~*~","word2",1,0,,,1,1,1,1,"two_factor_three","validation"
"word3","~*~","word3",1,0,,,1,1,1,1,"two_factor_three","validation"
"tol1","~1","",0,0,,,0,0,0,0,"two_factor_three","validation"
"tol2","~1","",0,0,,,0,0,0,0,"two_factor_three","validation"
"tol4","~1","",0,0,,,0,0,0,0,"two_factor_three","validation"
"ic1","~1","",0,0,,,0,0,0,0,"two_factor_three","validation"
"word1","~1","",0,0,,,0,0,0,0,"two_factor_three","validation"
"word2","~1","",0,0,,,0,0,0,0,"two_factor_three","validation"
"word3","~1","",0,0,,,0,0,0,0,"two_factor_three","validation"
"Tolerance","~1","",0,0,,,0,0,0,0,"two_factor_three","validation"
"Intangible","~1","",0,0,,,0,0,0,0,"two_factor_three","validation"
"Common","=~","tol1",0.661533253175396,0.0523691193620611,12.6321248329917,0,0.558891665323678,0.764174841027115,0.661533253175396,0.661533253175396,"one_factor","validation"
"Common","=~","tol2",0.773604481870836,0.0559607135325859,13.8240639376474,0,0.663923498797804,0.883285464943867,0.773604481870836,0.773604481870836,"one_factor","validation"
"Common","=~","tol3",0.0979898734072529,0.0549804940779965,1.78226614821326,0.0747058402647791,-0.00976991483783793,0.205749661652344,0.0979898734072529,0.0979898734072529,"one_factor","validation"
"Common","=~","tol4",0.38024989257019,0.0603150467464583,6.30439522278109,2.89321455682057e-10,0.262034573221282,0.498465211919098,0.38024989257019,0.38024989257019,"one_factor","validation"
"Common","=~","ic1",-0.47544338741008,0.0706947634350827,-6.72529851304571,1.75233161314736e-11,-0.614002577638421,-0.336884197181739,-0.47544338741008,-0.47544338741008,"one_factor","validation"
"Common","=~","word1",-0.26291871639784,0.0681475138130756,-3.85808229364038,0.000114280172724301,-0.396485389107414,-0.129352043688266,-0.26291871639784,-0.26291871639784,"one_factor","validation"
"Common","=~","word2",-0.11293525577339,0.0749626602472225,-1.50655346809914,0.13192515223514,-0.259859370043259,0.0339888584964781,-0.11293525577339,-0.11293525577339,"one_factor","validation"
"Common","=~","word3",-0.264346824893798,0.0828556282669805,-3.19045103420143,0.0014205091018733,-0.426740872213518,-0.101952777574077,-0.264346824893798,-0.264346824893798,"one_factor","validation"
