"replicate","direct","indirect_IC","indirect_PS","total","IC_to_Tol","PS_to_Tol","IB_to_Tol","TC_to_Tol","interaction","interaction_f2","failure"
59,-0.116687451422402,-0.04320460341855,0.0112029214011776,-0.148689133439774,-0.436723800584462,0.0308269210872282,0.170002115518399,0.0709917686597255,0.104210024921833,0.00299443762883339,""
60,-0.150897026565943,-0.0129361177705486,0.0146001094809004,-0.149233034855591,-0.346527279116966,0.0422564876307139,0.207322588437929,0.0606495612104062,0.136840647696044,0.00543040781899713,""
61,-0.139027305883954,-0.0307464312486558,0.0291999810770146,-0.140573756055595,-0.372574518055529,0.0984034468647607,0.168265277656601,0.0354548702296316,0.211344958981454,0.0138719320099184,""
62,-0.185847918168238,-0.00141146071273314,0.0134295341460931,-0.173829844734878,-0.328124331911801,0.0387536679517018,0.171308994370252,0.0183084576861116,0.120028756261177,0.00411828901726842,""
63,-0.11229604363184,-0.0367113298718101,0.0256006335077195,-0.123406739995931,-0.376044358186291,0.0768847642363618,0.116426943231352,0.0700104231049855,0.0668652433276,0.00120962906400838,""
64,-0.109952482545196,-0.0598700764035774,0.0261749380792046,-0.143647620869569,-0.361688467143604,0.0719006160062216,0.179024065740406,0.0402550410666048,0.000409350628529795,3.45307533714542e-08,""
65,-0.122714377760666,-0.0215032027903849,-0.00970074759648439,-0.153918328147536,-0.413881809638088,-0.0248727118360631,0.182062727935217,0.0542672204722674,0.134783715360049,0.00496110717885192,""
66,-0.146569120223789,-0.017647030316247,0.025497043030285,-0.138719107509751,-0.301288251530231,0.0746269286552222,0.187348173243289,0.0378153753064865,0.144151660039304,0.00565803760029895,""
67,-0.118364390788592,-0.0162780342295607,0.010625033916225,-0.124017391101928,-0.413868113226939,0.0309913405425879,0.204947495780515,0.0470929703533908,0.24821182003284,0.0195935958401512,""
68,-0.129577973478867,-0.0421236464036365,-0.000515115463650085,-0.172216735346154,-0.368876457277779,-0.00141593142655216,0.137458660524287,0.0327414779762734,0.0882489374267602,0.00196596711185767,""
69,-0.140962441506901,-0.0634485673678668,0.0320389983671451,-0.172372010507623,-0.386966974351863,0.096383103429641,0.25100978834722,0.0758116358628358,0.263303416737351,0.0211122727153183,""
70,-0.133953274482221,-0.0452651510710875,0.0276721844001957,-0.151546241153113,-0.388442508095989,0.0822472208980775,0.178270346141172,0.0519543104243321,0.142996499785953,0.0059638802357576,""
71,-0.18888467330418,0.00150722622624384,0.044785355421395,-0.142592091656541,-0.361805032459981,0.117047259343158,0.216226077589396,0.0447168416422266,0.115795785799548,0.00422937379427777,""
72,-0.106170203673945,-0.041700193438056,0.0254032995279209,-0.12246709758408,-0.353276822856132,0.0746752837481188,0.274261780248529,0.0507722692711132,0.0892384386362287,0.00209164363243195,""
73,-0.166161204605376,0.00611496433939949,0.0155669199146205,-0.144479320351356,-0.330769173475016,0.0431613528248696,0.208021260549131,0.0160938202432222,0.0179956889307155,9.70013087983039e-05,""
74,-0.128199408987348,-0.0349475350921998,0.0250753418784785,-0.13807160220107,-0.397111110875166,0.0807738439266134,0.159065317493277,0.0508787492950069,0.127095406549215,0.00494568283758411,""
75,-0.187715204703353,-0.0271632384790629,0.0110240022849405,-0.203854440897475,-0.25498371474282,0.034956712100707,0.246827180610473,-0.0537161502840785,0.173269135453508,0.00907005162364851,""
76,-0.135956059360511,-0.0261665612273213,0.0368634359750671,-0.125259184612765,-0.40048102386353,0.0996161730842123,0.175073467215867,0.0338103002754018,0.144774045452031,0.00618581931441155,""
77,-0.169020468057057,-0.0246566120498415,0.0302467460608,-0.163430334046099,-0.387078984707638,0.0795846797214027,0.170793715631813,0.0481201225309021,0.113348735919826,0.00381876758577765,""
78,-0.170887091241904,-0.0426767593855351,0.0388014930705701,-0.174762357556869,-0.328458477269769,0.108342408194901,0.256486648250052,0.0330428116709412,0.0152835391889502,6.57089524488577e-05,""
79,-0.104133175174561,-0.0877813292210833,0.037362183363754,-0.15455232103189,-0.369703043799903,0.10579197427208,0.231261375676565,0.0610606624754404,0.160422073299356,0.00636825138867433,""
80,-0.144664525559902,-0.011310527482611,0.0163894415794037,-0.13958561146311,-0.332440146578748,0.0534743715652895,0.200563545883974,0.0140254681719027,0.0936442877669878,0.00254853292436532,""
81,-0.145089155616426,0.0128564812040668,-0.00789638765333285,-0.140129062065692,-0.36021004694574,-0.0224348660890771,0.267917685074335,0.0630283686575037,0.211825687118919,0.0136916182801807,""
82,-0.139575918292812,-0.0460243674616431,0.0511091589129475,-0.134491126841508,-0.293722642634999,0.147962209364066,0.241298091062129,0.00469712325343492,0.094916653054559,0.00244918505209415,""
83,-0.077777815105112,-0.00195558944077198,0.0275131183616694,-0.0522202861842145,-0.345324871380576,0.0858467271420685,0.136963103747157,-0.000516830707688663,0.0235206745626098,0.000157597990348644,""
84,-0.158885373398006,-0.0073447133570612,0.0235442929104439,-0.142685793844624,-0.313545017138209,0.0711646398280695,0.151871924442345,0.0517072106411333,0.0509578907083454,0.000722898213387298,""
85,-0.137254891805383,-0.0328986461261088,0.0356398427231673,-0.134513695208324,-0.287609090661735,0.119603032044233,0.198912220536974,0.032125777976873,0.0825436389340396,0.0020039020951343,""
